id,name,description,image,website,country,founded,type,email,phone,address,createdAt,updatedAt
cmdb4c81dc873681cab7fff,Ilsa Fragrances,"Ilsa Fragrances is an innovative perfume company that specializes in creating unique and high-quality fragrances. Founded with a vision to provide a sensory experience that evokes emotions and memories, Ilsa Fragrances draws inspiration from nature and art. The brand emphasizes artisanal craftsmanship and sustainable sourcing of ingredients, ensuring that each scent reflects a commitment to excellence and environmental responsibility. With a blend of creativity and tradition, Ilsa Fragrances aims to connect people through the power of scent.",https://images.unsplash.com/photo-1541643600914-78b084683601?w=400&h=300&fit=crop,https://www.ilsafragrances.com,United States,2019,niche,contact@ilsafragrances.com,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:27.729914
cmd8cecd6f3ea0a6e398714,Ilum Dean,"Ilum Dean is a boutique fragrance house that specializes in niche perfumes crafted with high-quality and rare ingredients. The company was founded on the principle of creating unique scent experiences that evoke emotions and memories. Their story began with a passion for perfumery and a commitment to artistry, allowing customers to explore a world of distinctive aromas that are often not found in mainstream markets. Ilum Dean focuses on personalization, offering bespoke fragrances catered to individual preferences.",https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400&h=300&fit=crop,https://www.ilumdean.com,United States,2020,niche,hello@ilumdean.com,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:35.245714
cmdd673a7d94d3213118c3d,Imaginary Authors,"Imaginary Authors is a niche perfume company that specializes in creating unique and innovative fragrances inspired by fictional stories and characters. Founded in 2012 by Josh Meyer, the brand's narrative-driven approach sets it apart in the fragrance market. Each scent is accompanied by a short story, designed to evoke emotions and inspire creativity through its olfactory art. Imaginary Authors aims to craft experiences rather than just perfumes, making each fragrance a whimsical exploration of imagination and storytelling.",https://imaginaryauthors.com/cdn/shop/files/Logo_1950x600_493af985-2309-4790-bc0b-543aba174375.png?v=1730117257&width=320,https://imaginaryauthors.com,United States,2012,niche,,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:41.326298
cmd5c55890d54314b698d21,Iman,"Iman is a fragrance brand developed by Iman Abdulmajid, a Somali-American supermodel and entrepreneur. The brand was created to celebrate diversity and offer high-quality fragrances that cater to a wide range of consumers, particularly those who appreciate unique scents. Iman’s approach involves blending classic and modern elements, with fragrances that embody sophistication and elegance, reflecting her multicultural background and experiences.",https://images.unsplash.com/photo-1587017539504-67cfbddac569?w=400&h=300&fit=crop,https://www.imanfragrance.com,United States,2007,indie,,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:47.422592
cmdea95dd0e2179e5b9fb91,ime,"ime is a contemporary perfume house that specializes in creating unique, artisanal fragrances. The brand focuses on sustainability and the use of high-quality natural ingredients sourced from around the globe. Founded by a group of passionate fragrance enthusiasts, ime aims to provide a personal olfactory experience that reflects individuality and creativity. Their collection features a range of scents designed to evoke emotions and cater to diverse preferences, emphasizing the art of perfumery while promoting eco-friendly practices.",https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,,,,indie,,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:53.015218
cmd04734337a366023d1be9,IMH Perfume,"IMH Perfume is a fragrance company specializing in high-quality, handcrafted scents. Their commitment to using premium ingredients and traditional perfumery techniques sets them apart in the industry. IMH Perfume focuses on creating unique, artistic fragrances that cater to individual preferences and experiences, aiming to evoke emotions and memories through scent. The company has been gaining recognition for its personalized approach and dedication to sustainability in fragrance production.",https://images.unsplash.com/photo-15907369626-6c63ac16f3df?w=400&h=300&fit=crop,,,,indie,,,,2025-07-18T12:32:10.942225,2025-08-28T16:51:58.462662
cmde06f8fa546955fe2e403,Immortal Mine,"Immortal Mine is a boutique perfume company that specializes in crafting unique, artisanal fragrances that blend traditional perfume-making techniques with modern sensibilities. Founded by a team of passionate perfumers, the brand focuses on sustainability and the use of high-quality, natural ingredients to create memorable scents. Their story begins with a commitment to revive the art of perfumery, emphasizing individuality and storytelling through scent. Immortal Mine has gained acclaim for their evocative fragrance collections that resonate with a diverse clientele.",https://images.unsplash.com/photo-15907369626-6c63ac16f3df?w=400&h=300&fit=crop,www.immortalmine.com,United States,2015,niche,contact@immortalmine.com,,,2025-07-18T12:32:10.942225,2025-08-28T16:52:04.696464
cmd93aa71fec8493bff4dad,Immortal Perfumes,"Immortal Perfumes is a niche perfume company known for creating unique, high-quality fragrances inspired by the art of perfumery. Founded by a passionate artisan, the company focuses on using natural and organic ingredients to craft scents that evoke emotions and memories. Their story revolves around a commitment to sustainability and innovation, blending traditional techniques with contemporary trends to create a holistic fragrance experience. Immortal Perfumes prides itself on small batch production, ensuring each scent is distinct and thoughtfully curated.",https://images.squarespace-cdn.com/content/v1/61006a251879fd760abe2576/682e4176-614f-4e1e-8971-4acd2a06b9a5/Immortal+Perfumes+Logo.png?format=1500w,www.immortalperfumes.com,United States,2015,niche,info@immortalperfumes.com,,,2025-07-18T12:32:10.942225,2025-08-28T16:52:11.218799
cmd52f33d962f862089b8a1,Impala,"Impala is a perfume company that specializes in creating unique, high-quality fragrances. They are known for their commitment to using quality ingredients and innovative scent compositions, appealing to both contemporary and classical fragrance lovers. The company places a strong emphasis on sustainability and ethical sourcing practices, which resonates well with today's environmentally conscious consumers. Founded by a team of passionate fragrance enthusiasts, Impala aims to redefine personal scent experiences by offering distinctive and memorable perfumes.",https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=400&h=300&fit=crop,,,,indie,,,,2025-07-18T12:32:10.942225,2025-08-28T16:52:16.689393
cmde05ce5b48c71c06e0874,Imperio Lusso,"Imperio Lusso is a niche perfume company known for its unique and luxurious fragrances that blend traditional perfumery techniques with modern artistry. Founded by a team of passionate perfumers, the company aims to create exclusive scents that evoke emotions and tell stories. Their expertise lies in sourcing rare ingredients from around the world to craft high-quality perfumes that cater to connoisseurs of fine fragrance. The brand positions itself in the luxury segment of the market, offering a curated selection of fragrances that embody elegance and sophistication.",https://images.unsplash.com/photo-1582735689369-4fe89db7114c?w=400&h=300&fit=crop,http://www.imperiolusso.com,Italy,2015,niche,,,,2025-07-18T12:32:10.942225,2025-08-28T16:52:23.375968
